id	nloci	ann	ERS185082	ERS185252	ERS185068	ERS185036	ERS185470	ERS185473	ERS185400	ERS185403	ERS185125	ERS185102
1	0	ncrna gene|ncrna::HBII-13;gene::SNORD64,PWAR5,SNHG14	44	17	11	37	6	16	36	11	6	15
2	0	repeat|repeat::scRNA	23	167	424	0	0	36	0	32	0	8
3	0	ncrna gene|ncrna::U94;gene::PTCD3,SNORD94	27	16	18	0	0	0	3	0	0	35
4	0	gene|gene::EEF1A1	55	0	13	11	0	0	3	0	5	60
5	0	|	742	44	99	109	16	126	28	42	222	92
6	0	gene|gene::SRGN,SRGN,SRGN	7	3	8	0	0	0	0	0	0	43
7	0	gene miRNA|gene::KLHL3,KLHL3,KLHL3,MIR874;miRNA::hsa-miR-874-3p,hsa-miR-874-5p	545	273	212	305	233	233	157	265	308	283
8	0	ncrna gene|ncrna::U93;gene::SNHG10,SNHG10,SCARNA13	106	69	78	63	27	0	7	3	7	149
9	0	repeat|repeat::Simple_repeat	14	3	40	9	0	0	0	0	0	0
10	0	repeat|repeat::SINE;gene::FSIP1,FSIP1;repeat::SINE;gene::FSIP1,FSIP1;repeat::SINE;gene::NHSL1;repeat::SINE;gene::LIMA1,LIMA1;repeat::SINE;gene::LIMA1,LIMA1;repeat::SINE;gene::USP14,USP14;repeat::SINE;gene::USP14,USP14;repeat::SINE;gene::USP14,USP14;repeat::SINE;gene::ACTG2,ACTG2;repeat::SINE;miRNA::hsa-miR-1273h-5p,hsa-miR-1273h-3p;gene::MIR1273H,PRKCB,PRKCB;repeat::SINE;miRNA::hsa-miR-1273h-5p,hsa-miR-1273h-3p;gene::LLGL2,LLGL2,LLGL2	214	73	199	34	34	10	46	55	32	71
11	0	ncrna gene|ncrna::U49B;gene::LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,SNORD49B,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1,LRRC75A-AS1	84	80	202	29	11	8	30	3	0	19
12	0	ncrna gene|ncrna::U64;gene::RPS2,SNORA64	26	43	49	3	0	0	8	0	0	47
13	0	tRNA repeat|tRNA::tRNA-Leu-TAA-1-1;repeat::tRNA	71	44	52	13	5	17	5	18	4	24
14	0	ncrna gene|ncrna::U71b;gene::SNHG17,SNHG17,SNHG17,SNHG17,SNHG17,SNHG17,SNHG17,SNHG17,SNHG17,SNHG17,SNHG17,SNORA71B,SNHG17,SNHG17,SNHG17	28	14	28	4	3	0	3	5	0	21
15	0	|	40	0	0	0	0	0	0	0	0	45
16	0	gene|gene::VTRNA1-2	49	6	3	4	0	0	0	0	0	10
17	0	repeat gene|repeat::snRNA;gene::RNU6-2;repeat::LINE,snRNA;gene::RNU6-2;repeat::snRNA;gene::RNU6-2;repeat::snRNA;gene::RNU6-2;repeat::LINE,snRNA;gene::HERC3,HERC3;repeat::snRNA,SINE;gene::RNU6-2;repeat::snRNA;gene::SOX2-OT,RNU6-2,SOX2-OT,SOX2-OT;repeat::LINE,snRNA;gene::PAK2;repeat::snRNA;gene::RNU6-2;repeat::snRNA;gene::LOC643711;repeat::LINE,snRNA;gene::RNU6-2	62	37	147	46	15	5	10	0	0	105
18	0	|	117	0	3	15	11	5	4	6	6	59
19	0	gene|gene::RWDD2A,RWDD2A,RWDD2A,RWDD2A,RWDD2A	310	990	1867	604	230	163	7	324	307	226
20	0	|	17	0	9	6	0	0	0	0	0	35
